Sexo;Edad;Periodo;Total
Total;14 años;2029;488.191,862084
Total;14 años;2028;479.735,283169
Total;14 años;2027;499.212,638096
Total;14 años;2026;511.503,156214
Total;14 años;2025;511.155,972928
Total;14 años;2024;515.694,406937
Total;14 años;2023;536.056,254101
Total;14 años;2022;512.289,805306
Total;15 años;2072;427.964,17528
Total;15 años;2071;428.876,002519
Total;15 años;2070;430.493,143454
Total;15 años;2069;432.776,608735
Total;15 años;2068;435.634,000815
Total;15 años;2067;438.954,525641
Total;15 años;2066;442.602,802572
Total;15 años;2065;446.450,227498
Total;15 años;2064;450.345,317061
Total;15 años;2063;454.136,959186
Total;15 años;2062;457.677,279831
Total;15 años;2061;460.798,111266
Total;15 años;2060;463.347,440345
Total;15 años;2059;465.234,736209
Total;15 años;2058;466.352,491956
Total;15 años;2057;466.613,350183
Total;15 años;2056;466.052,044792
Total;15 años;2055;464.720,298053
Total;15 años;2054;462.717,255888
Total;15 años;2053;460.150,079078
Total;15 años;2052;457.181,542331
Total;15 años;2051;452.370,856429
Total;15 años;2050;447.431,735262
Total;15 años;2049;442.512,301971
Total;15 años;2048;437.780,334379
Total;15 años;2047;433.364,130384
Total;15 años;2046;429.314,515133
Total;15 años;2045;425.668,721353
Total;15 años;2044;422.459,096067
Total;15 años;2043;419.696,959731
Total;15 años;2042;417.379,830346
Total;15 años;2041;415.562,303536
Total;15 años;2040;414.327,312514
Total;15 años;2039;413.736,265927
Total;15 años;2038;413.908,992607
Total;15 años;2037;416.985,696081
Total;15 años;2036;420.013,629683
Total;15 años;2035;435.470,920242
Total;15 años;2034;447.075,029931
Total;15 años;2033;466.956,025285
Total;15 años;2032;483.786,379524
Total;15 años;2031;490.983,444314
Total;15 años;2030;493.996,561517
Total;15 años;2029;486.000,158325
Total;15 años;2028;505.815,314793
Total;15 años;2027;518.422,78693
Total;15 años;2026;518.320,03731
Total;15 años;2025;522.997,137823
Total;15 años;2024;543.374,799282
Total;15 años;2023;519.639,879698
Total;15 años;2022;510.169,803956
Total;16 años;2072;434.826,766257
Total;16 años;2071;436.404,950369
Total;16 años;2070;438.647,350776
Total;16 años;2069;441.461,945605
Total;16 años;2068;444.738,362254
Total;16 años;2067;448.341,756976
Total;16 años;2066;452.143,985445
Total;16 años;2065;455.994,092779
Total;16 años;2064;459.741,479404
Total;16 años;2063;463.238,740176
Total;16 años;2062;466.318,207228
Total;16 años;2061;468.828,272391
Total;16 años;2060;470.678,660346
Total;16 años;2059;471.762,095416
Total;16 años;2058;471.991,386238
Total;16 años;2057;471.401,071101
Total;16 años;2056;470.042,6166
Total;16 años;2055;468.014,770981
Total;16 años;2054;465.424,25505
Total;16 años;2053;462.433,298508
Total;16 años;2052;457.604,13197
Total;16 años;2051;452.643,58711
Total;16 años;2050;447.697,944347
Total;16 años;2049;442.933,806114
Total;16 años;2048;438.478,913855
Total;16 años;2047;434.383,730099
Total;16 años;2046;430.685,351128
Total;16 años;2045;427.416,114992
Total;16 años;2044;424.588,101632
Total;16 años;2043;422.199,754464
Total;16 años;2042;420.306,595305
Total;16 años;2041;418.993,072588
Total;16 años;2040;418.322,174098
Total;16 años;2039;418.414,604791
Total;16 años;2038;421.416,4574
Total;16 años;2037;424.405,453041
Total;16 años;2036;440.043,944958
Total;16 años;2035;451.959,010374
Total;16 años;2034;472.204,617041
Total;16 años;2033;489.397,241095
Total;16 años;2032;497.013,734196
Total;16 años;2031;500.487,961583
Total;16 años;2030;493.046,014568
Total;16 años;2029;513.302,846669
Total;16 años;2028;526.299,602597
Total;16 años;2027;526.563,227148
Total;16 años;2026;531.512,294567
Total;16 años;2025;551.984,183684
Total;16 años;2024;528.340,718806
Total;16 años;2023;518.751,832547
Total;16 años;2022;501.335,359488
Total;17 años;2072;443.386,336449
Total;17 años;2071;445.584,549306
Total;17 años;2070;448.353,338123
Total;17 años;2069;451.582,714866
Total;17 años;2068;455.138,268304
Total;17 años;2067;458.892,305078
Total;17 años;2066;462.694,330327
Total;17 años;2065;466.394,210052
Total;17 años;2064;469.844,973693
Total;17 años;2063;472.879,411094
Total;17 años;2062;475.346,309994
Total;17 años;2061;477.155,579001
Total;17 años;2060;478.200,206876
Total;17 años;2059;478.393,1436
Total;17 años;2058;477.768,763572
Total;17 años;2057;476.378,31417
Total;17 años;2056;474.320,197914
Total;17 años;2055;471.700,774109
Total;17 años;2054;468.681,751008
Total;17 años;2053;463.828,075926
Total;17 años;2052;458.840,204119
Total;17 años;2051;453.862,649264
Total;17 años;2050;449.060,901748
Total;17 años;2049;444.562,192392
Total;17 años;2048;440.416,671329
Total;17 años;2047;436.661,271773
Total;17 años;2046;433.328,363827
Total;17 años;2045;430.430,758011
Total;17 años;2044;427.967,789791
Total;17 años;2043;425.995,873796
Total;17 años;2042;424.600,92601
Total;17 años;2041;423.847,474971
Total;17 años;2040;423.857,060294
Total;17 años;2039;426.781,878512
Total;17 años;2038;429.728,77992
Total;17 años;2037;445.291,389892
Total;17 años;2036;457.408,003542
Total;17 años;2035;478.013,842166
Total;17 años;2034;495.652,146619
Total;17 años;2033;503.746,880371
Total;17 años;2032;507.756,314403
Total;17 años;2031;500.907,715531
Total;17 años;2030;521.731,823439
Total;17 años;2029;535.243,83142
Total;17 años;2028;535.963,082624
Total;17 años;2027;541.332,152367
Total;17 años;2026;562.064,784294
Total;17 años;2025;538.600,29426
Total;17 años;2024;528.978,14444
Total;17 años;2023;511.471,641025
Total;17 años;2022;498.642,147497
Total;18 años;2072;453.686,489977
Total;18 años;2071;456.405,913156
Total;18 años;2070;459.584,734785
Total;18 años;2069;463.088,951627
Total;18 años;2068;466.791,232446
Total;18 años;2067;470.541,537812
Total;18 años;2066;474.190,135189
Total;18 años;2065;477.590,464154
Total;18 años;2064;480.575,742596
Total;18 años;2063;482.995,118082
Total;18 años;2062;484.758,707496
Total;18 años;2061;485.759,693147
Total;18 años;2060;485.911,209131
Total;18 años;2059;485.247,46506
Total;18 años;2058;483.819,529185
Total;18 años;2057;481.725,497401
Total;18 años;2056;479.071,401085
Total;18 años;2055;476.018,512898
Total;18 años;2054;471.134,165096
Total;18 años;2053;466.112,865663
Total;18 años;2052;461.097,39613
Total;18 años;2051;456.252,194398
Total;18 años;2050;451.704,014154
Total;18 años;2049;447.502,702184
Total;18 años;2048;443.685,075854
Total;18 años;2047;440.283,507585
Total;18 años;2046;437.311,570912
Total;18 años;2045;434.769,463989
Total;18 años;2044;432.714,497084
Total;18 años;2043;431.234,036679
Total;18 años;2042;430.394,116127
Total;18 años;2041;430.317,123507
Total;18 años;2040;433.161,630629
Total;18 años;2039;436.062,813327
Total;18 años;2038;451.548,295115
Total;18 años;2037;463.564,398345
Total;18 años;2036;484.399,462515
Total;18 años;2035;502.470,48388
Total;18 años;2034;511.128,8642
Total;18 años;2033;515.731,410469
Total;18 años;2032;509.551,391872
Total;18 años;2031;530.991,21986
Total;18 años;2030;545.160,325982
Total;18 años;2029;546.478,230767
Total;18 años;2028;552.369,223226
Total;18 años;2027;573.540,467904
Total;18 años;2026;550.445,157537
Total;18 años;2025;540.905,91712
Total;18 años;2024;523.401,124818
Total;18 años;2023;510.369,881526
Total;18 años;2022;495.261,619282
Total;19 años;2072;465.638,892529
Total;19 años;2071;468.763,108445
Total;19 años;2070;472.211,909861
Total;19 años;2069;475.858,329357
Total;19 años;2068;479.552,70594
Total;19 años;2067;483.145,721649
Total;19 años;2066;486.491,169778
Total;19 años;2065;489.422,694608
Total;19 años;2064;491.789,792525
Total;19 años;2063;493.502,766141
Total;19 años;2062;494.455,029911
Total;19 años;2061;494.559,840976
Total;19 años;2060;493.851,312259
Total;19 años;2059;492.380,318795
Total;19 años;2058;490.244,698843
Total;19 años;2057;487.550,182335
Total;19 años;2056;484.457,623057
Total;19 años;2055;479.536,589305
Total;19 años;2054;474.475,811715
Total;19 años;2053;469.416,393308
Total;19 años;2052;464.521,722542
Total;19 años;2051;459.918,119901
Total;19 años;2050;455.655,135647
Total;19 años;2049;451.769,459756
Total;19 años;2048;448.293,516205
Total;19 años;2047;445.241,613515
Total;19 años;2046;442.614,852878
Total;19 años;2045;440.471,42038
Total;19 años;2044;438.900,16666
Total;19 años;2043;437.968,629001
Total;19 años;2042;437.800,022958
Total;19 años;2041;440.559,633479
Total;19 años;2040;443.410,723404
Total;19 años;2039;458.816,022961
Total;19 años;2038;470.727,898888
Total;19 años;2037;491.440,959409
Total;19 años;2036;509.782,58314
Total;19 años;2035;518.972,874442
Total;19 años;2034;524.250,174457
Total;19 años;2033;518.788,32466
Total;19 años;2032;540.923,579029
Total;19 años;2031;555.790,874663
Total;19 años;2030;557.857,524037
Total;19 años;2029;564.423,966231
Total;19 años;2028;586.145,246984
Total;19 años;2027;563.613,152167
Total;19 años;2026;554.383,63831
Total;19 años;2025;537.014,445785
Total;19 años;2024;523.908,051835
Total;19 años;2023;508.546,066172
Total;19 años;2022;483.562,802296
Total;20 años;2072;479.054,172838
Total;20 años;2071;482.443,112495
Total;20 años;2070;486.029,14859
Total;20 años;2069;489.663,027902
Total;20 años;2068;493.195,79116
Total;20 años;2067;496.481,622644
Total;20 años;2066;499.354,546162
Total;20 años;2065;501.664,438285
Total;20 años;2064;503.321,797614
Total;20 años;2063;504.220,247457
Total;20 años;2062;504.273,228955
Total;20 años;2061;503.514,705896
Total;20 años;2060;501.995,423951
Total;20 años;2059;499.812,931163
Total;20 años;2058;497.072,700011
Total;20 años;2057;493.935,176672
Total;20 años;2056;488.972,088826
Total;20 años;2055;483.866,438991
Total;20 años;2054;478.757,589852
Total;20 años;2053;473.807,92146
Total;20 años;2052;469.143,296213
Total;20 años;2051;464.812,999009
Total;20 años;2050;460.853,59083
Total;20 años;2049;457.297,519411
Total;20 años;2048;454.159,894406
Total;20 años;2047;451.442,695485
Total;20 años;2046;449.205,036902
Total;20 años;2045;447.537,240316
Total;20 años;2044;446.508,400336
Total;20 años;2043;446.242,562787
Total;20 años;2042;448.911,94347
Total;20 años;2041;451.708,214967
Total;20 años;2040;467.028,750863
Total;20 años;2039;478.831,125802
Total;20 años;2038;499.417,05581
Total;20 años;2037;517.626,500578
Total;20 años;2036;527.150,886015
Total;20 años;2035;533.048,347112
Total;20 años;2034;528.377,028629
Total;20 años;2033;551.249,119115
Total;20 años;2032;566.885,454754
Total;20 años;2031;569.728,473172
Total;20 años;2030;577.121,312054
Total;20 años;2029;599.551,399171
Total;20 años;2028;577.693,26571
Total;20 años;2027;568.990,21409
Total;20 años;2026;552.006,876691
Total;20 años;2025;538.982,248768
Total;20 años;2024;523.513,960525
Total;20 años;2023;498.246,288835
Total;20 años;2022;486.987,227579
Total;21 años;2072;493.632,548755
Total;21 años;2071;497.153,480705
Total;21 años;2070;500.722,052939
Total;21 años;2069;504.189,729253
Total;21 años;2068;507.411,051847
Total;21 años;2067;510.220,493137
Total;21 años;2066;512.468,27822
Total;21 años;2065;514.065,159632
Total;21 años;2064;514.904,995872
Total;21 años;2063;514.901,391596
Total;21 años;2062;514.088,229263
Total;21 años;2061;512.516,058935
Total;21 años;2060;510.282,190844
Total;21 años;2059;507.491,778584
Total;21 años;2058;504.304,889645
Total;21 años;2057;499.295,547502
Total;21 años;2056;494.140,744185
Total;21 años;2055;488.978,110118
Total;21 años;2054;483.968,943534
Total;21 años;2053;479.238,681887
Total;21 años;2052;474.836,294624
Total;21 años;2051;470.798,245533
Total;21 años;2050;467.156,998792
Total;21 años;2049;463.928,439518
Total;21 años;2048;461.115,501857
Total;21 años;2047;458.778,199298
Total;21 años;2046;457.008,391044
Total;21 años;2045;455.876,70623
Total;21 años;2044;455.508,068353
Total;21 años;2043;458.081,717036
Total;21 años;2042;460.818,407088
Total;21 años;2041;476.048,233659
Total;21 años;2040;487.734,625784
Total;21 años;2039;508.186,233318
Total;21 años;2038;526.256,233977
Total;21 años;2037;535.663,954386
Total;21 años;2036;541.947,371078
Total;21 años;2035;537.985,700606
Total;21 años;2034;561.653,577221
Total;21 años;2033;578.082,322401
Total;21 años;2032;581.758,386893
Total;21 años;2031;589.984,618351
Total;21 años;2030;613.266,95243
Total;21 años;2029;592.240,265693
Total;21 años;2028;584.174,880638
Total;21 años;2027;567.802,463024
Total;21 años;2026;555.132,516099
Total;21 años;2025;539.733,699873
Total;21 años;2024;514.356,799242
Total;21 años;2023;502.726,014617
Total;21 años;2022;491.756,289603
Total;22 años;2072;509.047,90413
Total;22 años;2071;512.546,150947
Total;22 años;2070;515.943,660528
Total;22 años;2069;519.095,429749
Total;22 años;2068;521.836,371937
Total;22 años;2067;524.017,15993
Total;22 años;2066;525.548,767132
Total;22 años;2065;526.325,37202
Total;22 años;2064;526.260,781589
Total;22 años;2063;525.388,748708
Total;22 años;2062;523.759,692952
Total;22 años;2061;521.470,592326
Total;22 años;2060;518.626,32231
Total;22 años;2059;515.386,468171
Total;22 años;2058;510.327,741503
Total;22 años;2057;505.120,635208
Total;22 años;2056;499.900,931203
Total;22 años;2055;494.828,856432
Total;22 años;2054;490.029,342904
Total;22 años;2053;485.551,078283
Total;22 años;2052;481.430,363842
Total;22 años;2051;477.699,71154
Total;22 años;2050;474.375,786514
Total;22 años;2049;471.462,438936
Total;22 años;2048;469.020,648866
Total;22 años;2047;467.143,777259
Total;22 años;2046;465.904,049594
Total;22 años;2045;465.427,197628
Total;22 años;2044;467.899,371359
Total;22 años;2043;470.571,463351
Total;22 años;2042;485.702,767603
Total;22 años;2041;497.265,241303
Total;22 años;2040;517.572,750477
Total;22 años;2039;535.493,747858
Total;22 años;2038;544.777,158577
Total;22 años;2037;550.953,777814
Total;22 años;2036;547.434,287194
Total;22 años;2035;571.787,06361
Total;22 años;2034;589.049,564393
Total;22 años;2033;593.563,110203
Total;22 años;2032;602.659,443712
Total;22 años;2031;626.774,91524
Total;22 años;2030;606.716,898741
Total;22 años;2029;599.441,695079
Total;22 años;2028;583.782,456036
Total;22 años;2027;571.697,534117
Total;22 años;2026;556.654,532972
Total;22 años;2025;531.360,243365
Total;22 años;2024;519.552,02998
Total;22 años;2023;508.138,081765
Total;22 años;2022;485.913,965353
Total;23 años;2072;524.942,905436
Total;23 años;2071;528.265,068088
Total;23 años;2070;531.342,113478
Total;23 años;2069;534.009,52952
Total;23 años;2068;536.118,441115
Total;23 años;2067;537.580,148478
Total;23 años;2066;538.289,128948
Total;23 años;2065;538.159,490158
Total;23 años;2064;537.224,860498
Total;23 años;2063;535.535,462778
Total;23 años;2062;533.187,989847
Total;23 años;2061;530.286,91852
Total;23 años;2060;526.991,364963
Total;23 años;2059;521.881,196352
Total;23 años;2058;516.619,761076
Total;23 años;2057;511.340,913758
Total;23 años;2056;506.203,684181
Total;23 años;2055;501.332,521892
Total;23 años;2054;496.775,757296
Total;23 años;2053;492.569,567289
Total;23 años;2052;488.746,433655
Total;23 años;2051;485.323,846707
Total;23 años;2050;482.306,571183
Total;23 años;2049;479.756,47911
Total;23 años;2048;477.768,492557
Total;23 años;2047;476.416,377256
Total;23 años;2046;475.826,694025
Total;23 años;2045;478.191,967002
Total;23 años;2044;480.794,496856
Total;23 años;2043;495.818,260973
Total;23 años;2042;507.248,191125
